==Frequent itemsets (min_sup=10.0%)
[63,68] => [69] (Conf: 84%, Supp: 10.9%)
[55,69,85] => [65] (Conf: 84%, Supp: 12.9%)
[63,68] => [85] (Conf: 83%, Supp: 10.8%)
[68,85] => [69] (Conf: 82%, Supp: 16.1%)
[55,68] => [69] (Conf: 82%, Supp: 13.1%)
[55,68] => [85] (Conf: 82%, Supp: 13.0%)
[25,85] => [69] (Conf: 82%, Supp: 12.0%)
[55,68,85] => [65] (Conf: 81%, Supp: 10.7%)
[39,85] => [69] (Conf: 81%, Supp: 10.0%)
[102,85] => [69] (Conf: 81%, Supp: 10.1%)
[55,68,69] => [65] (Conf: 81%, Supp: 10.6%)
[63,85] => [65] (Conf: 80%, Supp: 11.4%)
[11,85] => [69] (Conf: 80%, Supp: 12.3%)
[68,69,85] => [65] (Conf: 79%, Supp: 12.9%)
[55,85] => [65] (Conf: 79%, Supp: 14.0%)
[85] => [69] (Conf: 79%, Supp: 22.2%)
[55,69] => [65] (Conf: 78%, Supp: 13.9%)
[63] => [69] (Conf: 78%, Supp: 17.0%)
[68,69] => [85] (Conf: 77%, Supp: 16.1%)
[65,68,69,85] => [55] (Conf: 77%, Supp: 10.0%)
[55] => [85] (Conf: 77%, Supp: 17.7%)
[55] => [69] (Conf: 77%, Supp: 17.7%)
[69,85] => [65] (Conf: 77%, Supp: 17.2%)
[55,65,69,85] => [68] (Conf: 77%, Supp: 10.0%)
[55,65,69] => [68] (Conf: 76%, Supp: 10.6%)
[63,85] => [68] (Conf: 75%, Supp: 10.8%)
[65,68,85] => [55] (Conf: 75%, Supp: 10.7%)
[55,65,85] => [68] (Conf: 75%, Supp: 10.7%)
[63,85] => [55] (Conf: 75%, Supp: 10.7%)
[55,69,85] => [68] (Conf: 75%, Supp: 11.6%)
[65,69,85] => [55] (Conf: 75%, Supp: 12.9%)
[65,69,85] => [68] (Conf: 75%, Supp: 12.9%)
[55,65] => [68] (Conf: 74%, Supp: 11.5%)
[65,68,69] => [55] (Conf: 74%, Supp: 10.6%)
[63,69] => [85] (Conf: 74%, Supp: 12.6%)
[55,69] => [68] (Conf: 73%, Supp: 13.1%)
[55,85] => [68] (Conf: 73%, Supp: 13.0%)
[65,69] => [68] (Conf: 73%, Supp: 14.3%)
[65,85] => [68] (Conf: 73%, Supp: 14.0%)
[65,85] => [55] (Conf: 73%, Supp: 14.0%)
[25,85] => [68] (Conf: 73%, Supp: 10.7%)
[69,85] => [68] (Conf: 72%, Supp: 16.1%)
[55,68] => [65] (Conf: 72%, Supp: 11.5%)
[68,85] => [65] (Conf: 72%, Supp: 14.0%)
[68,69,85] => [55] (Conf: 72%, Supp: 11.6%)
[65,68] => [55] (Conf: 71%, Supp: 11.5%)
[65,69] => [55] (Conf: 71%, Supp: 13.9%)
[25,85] => [65] (Conf: 71%, Supp: 10.4%)
[65] => [68] (Conf: 71%, Supp: 15.9%)
[11,85] => [68] (Conf: 70%, Supp: 10.7%)
[11,85] => [65] (Conf: 69%, Supp: 10.7%)
[85] => [68] (Conf: 69%, Supp: 19.5%)
[69,85] => [55] (Conf: 69%, Supp: 15.4%)
[55] => [68] (Conf: 69%, Supp: 15.8%)
[68,69] => [65] (Conf: 68%, Supp: 14.3%)
[65] => [55] (Conf: 68%, Supp: 15.4%)
[85] => [65] (Conf: 68%, Supp: 19.2%)
[55] => [65] (Conf: 67%, Supp: 15.4%)
[63,69] => [65] (Conf: 67%, Supp: 11.4%)
[68,85] => [55] (Conf: 66%, Supp: 13.0%)
[1,102] => [25] (Conf: 66%, Supp: 10.1%)
[63] => [85] (Conf: 65%, Supp: 14.2%)
[102,69] => [25] (Conf: 65%, Supp: 10.4%)
[63,69] => [68] (Conf: 64%, Supp: 10.9%)
[25,68] => [69] (Conf: 63%, Supp: 11.5%)
[102,69] => [85] (Conf: 63%, Supp: 10.1%)
[11,69] => [85] (Conf: 63%, Supp: 12.3%)
[85] => [55] (Conf: 63%, Supp: 17.7%)
[68,69] => [55] (Conf: 63%, Supp: 13.1%)
[11,68] => [69] (Conf: 62%, Supp: 11.5%)
[63,69] => [55] (Conf: 62%, Supp: 10.7%)
[65,69,85] => [63] (Conf: 62%, Supp: 10.7%)
[39,69] => [85] (Conf: 61%, Supp: 10.0%)
[25,69] => [85] (Conf: 61%, Supp: 12.0%)
[118] => [25] (Conf: 61%, Supp: 12.9%)
[64] => [25] (Conf: 61%, Supp: 14.4%)
[69] => [85] (Conf: 61%, Supp: 22.2%)
[102,25] => [11] (Conf: 61%, Supp: 11.8%)
[55,85] => [63] (Conf: 60%, Supp: 10.7%)
[102,11] => [25] (Conf: 60%, Supp: 11.8%)
[55,69] => [63] (Conf: 60%, Supp: 10.7%)
[67] => [11] (Conf: 59%, Supp: 15.1%)
[25,68] => [85] (Conf: 59%, Supp: 10.7%)
[63] => [68] (Conf: 59%, Supp: 12.9%)
[68] => [69] (Conf: 59%, Supp: 20.7%)
[65,85] => [63] (Conf: 59%, Supp: 11.4%)
[11,69] => [68] (Conf: 59%, Supp: 11.5%)
[51] => [11] (Conf: 59%, Supp: 16.4%)
[25,39] => [11] (Conf: 59%, Supp: 10.2%)
[25,69] => [68] (Conf: 58%, Supp: 11.5%)
[11,68] => [85] (Conf: 58%, Supp: 10.7%)
[89] => [25] (Conf: 58%, Supp: 14.3%)
[50] => [11] (Conf: 58%, Supp: 17.1%)
[89] => [11] (Conf: 58%, Supp: 14.3%)
[64] => [11] (Conf: 58%, Supp: 13.7%)
[65,69] => [63] (Conf: 58%, Supp: 11.4%)
[1,11] => [25] (Conf: 58%, Supp: 10.7%)
[102] => [11] (Conf: 58%, Supp: 19.5%)
[118] => [102] (Conf: 58%, Supp: 12.2%)
[118] => [11] (Conf: 57%, Supp: 12.1%)
[102] => [25] (Conf: 57%, Supp: 19.3%)
[11,69] => [25] (Conf: 57%, Supp: 11.1%)
[69] => [68] (Conf: 57%, Supp: 20.7%)
[25,69] => [11] (Conf: 57%, Supp: 11.1%)
[63] => [65] (Conf: 56%, Supp: 12.3%)
[63] => [25] (Conf: 56%, Supp: 12.3%)
[1,25] => [11] (Conf: 56%, Supp: 10.7%)
[69,85] => [63] (Conf: 56%, Supp: 12.6%)
[4] => [11] (Conf: 56%, Supp: 10.8%)
[11,25] => [102] (Conf: 56%, Supp: 11.8%)
[51] => [25] (Conf: 56%, Supp: 15.6%)
[39] => [11] (Conf: 56%, Supp: 18.5%)
[4] => [25] (Conf: 56%, Supp: 10.8%)
[25,68] => [11] (Conf: 56%, Supp: 10.0%)
[68] => [85] (Conf: 56%, Supp: 19.5%)
[1] => [25] (Conf: 55%, Supp: 18.8%)
[11,69] => [65] (Conf: 55%, Supp: 10.8%)
[6] => [69] (Conf: 55%, Supp: 13.2%)
[65,69] => [11] (Conf: 55%, Supp: 10.8%)
[65,85] => [11] (Conf: 55%, Supp: 10.7%)
[69,85] => [11] (Conf: 55%, Supp: 12.3%)
[68,69] => [11] (Conf: 55%, Supp: 11.5%)
[68,69] => [25] (Conf: 55%, Supp: 11.5%)
[68,85] => [63] (Conf: 55%, Supp: 10.8%)
[65] => [11] (Conf: 55%, Supp: 12.4%)
[63] => [55] (Conf: 55%, Supp: 11.9%)
[68,85] => [11] (Conf: 55%, Supp: 10.7%)
[45] => [11] (Conf: 55%, Supp: 15.5%)
[11,39] => [25] (Conf: 54%, Supp: 10.2%)
[55] => [11] (Conf: 54%, Supp: 12.5%)
[50] => [25] (Conf: 54%, Supp: 16.1%)
[11,68] => [25] (Conf: 54%, Supp: 10.0%)
[68,85] => [25] (Conf: 54%, Supp: 10.7%)
[65] => [63] (Conf: 54%, Supp: 12.3%)
[85] => [11] (Conf: 54%, Supp: 15.3%)
[65,69] => [25] (Conf: 54%, Supp: 10.6%)
[1] => [11] (Conf: 54%, Supp: 18.4%)
[25,69] => [65] (Conf: 54%, Supp: 10.6%)
[64] => [102] (Conf: 54%, Supp: 12.7%)
[65,85] => [25] (Conf: 54%, Supp: 10.4%)
[69,85] => [25] (Conf: 54%, Supp: 12.0%)
[102,25] => [69] (Conf: 53%, Supp: 10.4%)
